term,tfidf
fuck,4.8221036686509615
day,4.433987204485146
else,4.772983460736323
ive,5.079644950099326
still,4.332204510175204
pain,4.663561646129646
tear,5.83676962588852
wanted,4.721679428745675
need,4.7841896339182615
away,4.610917912644224
give,5.0000167805694264
trust,5.741266704468668
could,4.869218401378419
tell,4.465735902799727
heart,4.80666248977032
mood,6.640994587251469
change,5.83676962588852
stay,5.352473219005692
talk,5.110873864173311
every,4.401197381662156
back,4.958043039325895
see,4.555348061489413
start,5.1174893464018965
nothing,6.363211767622152
mean,4.7841896339182615
realize,6.380454399371695
wrong,5.040517451185639
say,5.0943445622221
thought,4.721679428745675
break,4.8221036686509615
would,4.367295829986475
love,5.0943445622221
someone,6.187385805840755
wish,5.83676962588852
try,5.467564657752123
sometimes,4.912023005428146
alone,4.465735902799727
feel,5.882801922586371
cant,5.440172405201552
enough,4.663561646129646
happy,4.850147601710058
afraid,5.52697320429692
matter,5.4116734095936625
scared,5.52697320429692
hard,4.178053830347945
good,4.891820298110627
going,4.526360524616162
person,5.110873864173311
end,5.040517451185639
ever,5.406719247264253
sorry,4.871201010907891
friend,4.555348061489413
go,4.555348061489413
way,4.526360524616162
smile,7.691753120141464
cry,5.343805421853684
life,5.477336814478207
get,5.174387269895637
never,6.321672008072892
want,5.795790545596741
mind,4.218875824868201
tired,5.430816798843313
keep,5.040517451185639
better,4.433987204485146
know,5.553876891600541
im,6.480638923341991
actually,5.040517451185639
much,5.189654742026425
thing,5.442651256490317
hate,4.688879454113936
everyone,5.860243292732146
everything,5.394449154672439
emotion,6.380454399371695
shut,8.00287212240645
hurt,7.106675232304586
like,6.003946305945459
something,4.912023005428146
feeling,5.418840607796598
worst,5.6384104096887695
close,5.52697320429692
one,5.709530201312334
strong,4.8221036686509615
always,5.51085950651685
okay,4.49650756146648
act,8.249544378296253
really,5.68213122712422
think,5.007333185232471
even,4.850147601710058
inside,4.218875824868201
anyone,4.713572066704308
understand,6.198005147413104
problem,4.295836866004329
let,5.382452844296859
come,4.869218401378419
care,6.006999524961997
time,5.02535169073515
make,5.418840607796598
people,6.14166355650266
sad,6.89470401288504
reason,5.352473219005692
suicide,3.189216162042489
laugh,3.7217023602638544
stupid,3.0116845406028387
kill,2.7541432591544748
girl,3.0116845406028387
apart,3.7217023602638544
anything,2.7541432591544748
look,2.386294361119891
eye,2.7541432591544748
face,3.0116845406028387
demon,3.189216162042489
deserve,2.7541432591544748
scar,4.986441928388727
fucking,3.0116845406028387
become,2.7541432591544748
