processed_tweet,username
 gonna take some time off of social media for a while,Depressed2102
 today wa horribl,Depressed2102
 simpli do not want to be aliv,Depressed2102
 my girlfriend broke up with me last night,Depressed2102
 my grandpa ha pass away,Depressed2102
 they put my grandpa on hospic today they said hes probabl go to pass either tonight or tomorrow,Depressed2102
 cut off all my friend they ask me whi im so heartless i turn around and ask them whi they leav me in the dark,Depressed2102
 readideath,Depressed2102
 some day i wonder whi i bother to get out of bed i shouldve just stay here,Depressed2102
 im sad,Depressed2102
 then i start to think that suicid is the onli way out,Depressed2102
 be self awar is a bad thing rn,Depressed2102
 idk how much longer i can hang on,Depressed2102
 make friend with your demon in hope that they leav you alon,Depressed2102
 im fall apart,Depressed2102
 my therapist final call today afterweek,Depressed2102
 i feel like such shit,Depressed2102
 my therapist blew me off today suppos to have a phone appt and she just didnt call,Depressed2102
 go back on my med cuz im do realli bad without them,Depressed2102
 sorri i go miss for a few day too depress to even tweet,Depressed2102
 it never get better,Depressed2102
 constant self sabotag,Depressed2102
 havent been eat,Depressed2102
 i stop my med and had a realli bad anxieti attack so now im take them again,Depressed2102
accidentslept forstraight hour,Depressed2102
 thi coronaviru bullshit ha cancel my therapi session for week im die,Depressed2102
 i dont wanna be aliv no more,Depressed2102
 i dont wanna be on med anymor,Depressed2102
 im gonna stop take my med,Depressed2102
 im turnin grey again but it all good it nothin new ill bounc right back until i sink again that all i do,Depressed2102
 i just dont wanna be aliv,Depressed2102
 deep down i realli have the urg to kill myself and i feel like i should talk to someon about it but i have nobodi,Depressed2102
 idk whi i bother to get up today i shouldve just slept all day,Depressed2102
 all i do is sleep all day,Depressed2102
 mental psychic and emot tire,Depressed2102
 med got chang again today,Depressed2102
 thing i am sick ofeveryth,Depressed2102
 lol when doe it get better,Depressed2102
 fuck,Depressed2102
 damn im just so down,Depressed2102
 cri myself to sleep,Depressed2102
 wow im not okay,Depressed2102
 i got rid of my blade today and i realli wish i didnt,Depressed2102
 life just keep get wors,Depressed2102
 no matter what i do im constantli fuck depress at the end of the day,Depressed2102
 i wa realli product today and i still feel like shit,Depressed2102
 sometim i wake up and i wish i didnt wake up,Depressed2102
 pain goe by when you just dont think about it,Depressed2102
 my dad found out on friday that he ha cancer he told me today,Depressed2102
 im not okay,Depressed2102
 am and i am drown in flashback,Depressed2102
 everybodi leav,Depressed2102
 i hate that im alway afraid of stupid shit like my partner isnt gonna dump me but im alway freak out,Depressed2102
 im so insecur,Depressed2102
 im such a burden,Depressed2102
 ill end it all to keep from hurt,Depressed2102
 its like youve got nobodi to turn to ever even if you have good news you still have nobodi to go to,Depressed2102
 i dont even have a best friend anymor,Depressed2102
 i wish i had friend,Depressed2102
 bad day,Depressed2102
 my head hurt,Depressed2102
 so much is trigger,Depressed2102
 its not even worth it to cut myself anymor id rather just die,Depressed2102
 theres liter no point in live lol i wish i didnt fuckin fail,Depressed2102
 actual just wanna end it all idk what keep me here,Depressed2102
 i wanna come off of my med at thi point theyre not do ani good,Depressed2102
 i feel like absolut shit,Depressed2102
 forgot my med today,Depressed2102
 idk whi im alway scare my partner is gonna leav me,Depressed2102
 sometim i wanna die,Depressed2102
 i have so much bottl up i dont even wanna talk to my therapist about it,Depressed2102
 i want to cancel all of my plan and sleep forev,Depressed2102
 i feel like i have so much to do,Depressed2102
 my grandma is die but i never realli had a relationship with her and i dont know how i feel,Depressed2102
 i have so much shit go on,Depressed2102
 overwhelm,Depressed2102
 my grandma habrain aneur right now dont know how i feel we dont realli speak,Depressed2102
 shit day,Depressed2102
 advic i have a med appt come up and idk what to do im kinda okay rn but it could be bc i just had top surgeri or bc i just start see my partner or it could be neither idk do i chang my med i have been on these med for so long im on autopilot,Depressed2102
 therapist want me to work on my trauma yike,Depressed2102
 cant sleep,Depressed2102
 i just dont care anymor,Depressed2102
 im readi to throw it all away,Depressed2102
 theres just noth to live for,Depressed2102
 realli fuck upset,Depressed2102
 contempl everyth,Depressed2102
 such a shit night and nobodi is awak,Depressed2102
 fuck the world,Depressed2102
 sick of live,Depressed2102
 sick of have no friend,Depressed2102
 realli bad nightmar last night,Depressed2102
 lol therapi got cancel again today,Depressed2102
 surgeri went realli good just in pain but thatll get better with time,Depressed2102
 top surgeri is tomorrow,Depressed2102
 my grandpa best friend die today can onli hope my grandpa wa there to greet him in heaven so fuck sad,Depressed2102
 they say everi life preciou but nobodi care about mine,Depressed2102
 dayof trauma anniversari month and i alreadi want to kill myself,Depressed2102
 my therapist basic kick me out of our session yesterday,Depressed2102
 just dont see a point in live anymor,Depressed2102
 cri myself to sleep ha becom an everyday thing,Depressed2102
 its a cri yourself to sleep type of night,Depressed2102
 i just wanna scream,Depressed2102
 my therapist didnt even listen to me today,Depressed2102
 i need a cigarett,Depressed2102
 push everyon away,Depressed2102
 surprisingli had a realli good therapi session today,Depressed2102
 top surgeri is schedul for next month,Depressed2102
 i want to die,Depressed2102
 happi new year,Depressed2102
 i keep it bottl up until the bottl final shake my roof final crash down cuz thi life ha no break,Depressed2102
 been feel like such shit late,Depressed2102
 therapi is useless,Depressed2102
 just wanna be abl to close my eye and feel alright,Depressed2102
 physic mental and emot sick,Depressed2102
 im a disgrac,Depressed2102
 nightmar dont stop,Depressed2102
 ptsd is kick my ass,Depressed2102
 think of your life worst nightmar i live it,Depressed2102
 ill be cri myself to sleep tonight,Depressed2102
 therapi suck as alway,Depressed2102
 insur deni my top surgeri and im absolut devast,Depressed2102
 have you seen my will to live i cant find it,Depressed2102
 i havent left bed or gotten dress inday,Depressed2102
 ive been consist suicid for a week straight,Depressed2102
 im just so readi to throw it all away i have thing im look forward to but i just dont even care,Depressed2102
 i wa do alright for a littl while and then of cours everyth come crash down,Depressed2102
 alway feel so alon,Depressed2102
