processed_tweet,username
 the real reason whi your sad your attach to peopl who have been distant with you your pay attent to peopl who ignor you you make time for peopl who are too busi for you your too care to peopl who are care less when it come to you let those peopl go,depressingmsgs
 my biggest problem is overthink everyth,depressingmsgs
 the worst sad is the sad youv taught yourself to hide,depressingmsgs
 i cannot make you understand i cannot make anyon understand what is happen insid me i cannot even explain it to myself,depressingmsgs
 i dont think anyon realli understand how tire it is to act okay and alway be the strong one when in realiti your close to the edg,depressingmsgs
 the worst feel is when someth is kill you insid and you have to act like you dont care,depressingmsgs
 when im hurt i shut down i turn into a total bitch i shut off my emot i act differ toward everyth and everyon and i hate it,depressingmsgs
 overthink ruin you ruin the situat twist thing around make you worri and just make everyth much wors than it actual is,depressingmsgs
 im disappoint in myself becaus i know im better than the choic i keep make and the thing i choos to deal with,depressingmsgs
 im just so tire of thi my bodi is tire my mind is a mess i just realli want to lay in bed and never get up im just so tire of life,depressingmsgs
are you okaymeno but its okay ,depressingmsgs
 im sick of make thing wors im sick of be hurt im sick of cri myself to sleep im sick of hate everyth im sick of fake a smile im sick of feel thi way im sick of let peopl down im sick of be me,depressingmsgs
 live with depress and anxietino motiv to leav your beddread leav your housnot be abl to go outunabl to make new friendbe paranoid or restlessmental hurtzone out a lot ignor peoplnot be yourself,depressingmsgs
 sorri for be so fuck up sorri for be such a failur sorri for be a disgrac sorri for be me,depressingmsgs
 do you ever write a realli long messag and about halfway through your like you know what they dont even care and end up delet it,depressingmsgs
im tire go to sleep then no you dont understand ,depressingmsgs
 you hide when you cri becaus you want to be seen as a strong person at the same time though you hate how nobodi notic how broken you are,depressingmsgs
 so sick of go through the same shit over and over again,depressingmsgs
 pleas dont expect me to alway be good and kind and love there are time when ill be cold and thoughtless and realli hard to understand,depressingmsgs
 i dont think peopl realli understand just how stress it is to explain what on your mind when you dont even understand it yourself,depressingmsgs
 im scare to get close to peopl becaus i think they will eventu walk out of my life no matter how close we are becaus everyon leav,depressingmsgs
 i think im afraid to be happi becaus whenev i get too happi someth bad alway happen,depressingmsgs
 i hate get so sad to the point where my bodi complet shut down and all i can do is just lay there and think about all my problem,depressingmsgs
 i alreadi know im not good enough,depressingmsgs
 sleep is so hard when you cant stop think,depressingmsgs
 im not the same anymor ill admit it a lot of shit got to me,depressingmsgs
 social anxieti suck you unintent make yourself sad you feel alon even when your not and sometim you dont even know what wrong,depressingmsgs
 i say sorri a lot becaus i secretli feel that everyth is my fault,depressingmsgs
 it suck doesnt it feel like your not good enough no matter how hard you tri,depressingmsgs
 depress isnt alway sad it can also be empti anger tired or loneli sometim a cri for help isnt so visibl,depressingmsgs
 do you ever feel physic sick becaus you know your not good enough for anyon and cant do anyth right no matter how hard you tri,depressingmsgs
 i wish someon wa afraid to lose me im alway scare of lose peopl that i love but i doubt anyon would fight to keep me in their life,depressingmsgs
 im just so tire of thi my bodi is tire my mind is a mess i just realli want to lay in bed and never get up im just so tire of life,depressingmsgs
 sometim im disappoint in myself becaus i know im better than the choic i make and the thing i choos to deal with,depressingmsgs
 you can onli be so strong for so long until you reach a point where you break physic mental emot,depressingmsgs
 my biggest mistak ever is think that peopl care for me as much as i do for them but in realiti it almost alway one side,depressingmsgs
 i dont tweet for sympathi or attent i express my thought and feel thi is my outlet where i can say stuff without feel judg,depressingmsgs
 when i die dont go to my grave and sit there tell me how much you love and miss me those are the thing i need to hear when i wa aliv,depressingmsgs
 i truli feel like everyth i say or do is alway wrong like im a total disappoint to everyon and all i ever do is let peopl down,depressingmsgs
 i overthink a lot im sensit and clingi but i realli do tri my hardest to be good enough so im sorri if that not enough,depressingmsgs
