processed_tweet,username
 let the dark consum me,suicidalconcept
 eras my exist no one will notic,suicidalconcept
 i thought i got better in realiti it becam wors than it wa befor,suicidalconcept
 the voic in my head just wont shut up,suicidalconcept
 im fine im just tire it just my allergi someth got into my eye im realli fine,suicidalconcept
 they say to not compar yourself on social media but it hard to not when you look the way you do and the mirror is just right there,suicidalconcept
 im so useless i should just die,suicidalconcept
 there are no word for the pain of feel so unwant,suicidalconcept
 my mind is tell me to end it all,suicidalconcept
 be ignor just make me feel like i shouldnt be here,suicidalconcept
 everyth a blur to me now,suicidalconcept
 no motiv for anyth anymor,suicidalconcept
 mayb one day ill find the courag to actual do it,suicidalconcept
 new year anxieti is still here,suicidalconcept
 you cant understand if you never had to experi it befor,suicidalconcept
 tire of be aliv,suicidalconcept
 i feel so alon as alway,suicidalconcept
 still depress,suicidalconcept
 there alway no one when i need someon,suicidalconcept
 at that point where no shit are given,suicidalconcept
 just want to not care and move on,suicidalconcept
 when your so tire but you just cant sleep,suicidalconcept
 talk to wall,suicidalconcept
 i dont belong here,suicidalconcept
 stare at the ceil and wonder how i can end it all,suicidalconcept
 sometim it hurt so bad you cant breath,suicidalconcept
 just admit it no one want me,suicidalconcept
 i feel uglier and uglier everytim i see a reflect of myself,suicidalconcept
 i know im irrelev,suicidalconcept
 have you ever stood in the shower had a break down and then walk out like noth happen,suicidalconcept
 mirror mirror on the wall who is the ugliest of them all me,suicidalconcept
 i hate myself so much,suicidalconcept
 i feel so suffoc,suicidalconcept
 isol thi is not new to me,suicidalconcept
 when it hurt so much all you can do is lie there and stare at the ceil,suicidalconcept
 just becaus it wasnt shown doesnt mean it didnt hurt,suicidalconcept
 itll be okay stay strong even if you feel everyth fall apart,suicidalconcept
 drown,suicidalconcept
 i want to disappear,suicidalconcept
ha been realli dread so far,suicidalconcept
 i just want to isol,suicidalconcept
 i draw and draw and draw to distract me from the pain im feel,suicidalconcept
 everytim,suicidalconcept
 youll never understand the pain i felt,suicidalconcept
 same shit over and over again,suicidalconcept
 notokay,suicidalconcept
 breath but not live,suicidalconcept
 i just want to leav but im too broke to go anywher,suicidalconcept
 they promis not to leav but they left,suicidalconcept
 noth i do is ever good enough huh even for you,suicidalconcept
 sorri for be a burden,suicidalconcept
 i cant stop the suicid thought and one day theyll take over,suicidalconcept
 if i could say it i would but the word just cant seem to come out,suicidalconcept
 overthink more overthink even more overthink no sleep,suicidalconcept
 no motiv for anyth,suicidalconcept
,suicidalconcept
