id,tweet,hs_label
1,ردينا التطنز,0
2,وصارت فطاير البقالات غذاء صحي,0
3,روحي لبريده تلقين اشباه كثير ماحد زيكم مشفوح يخقخق ويطالعهم انحطاط ويصورهم الله يفشلكم,0
4,مش باين حاجه خالص مش عارف بقا,0
5,يقولك المسلمين خاله اسمها امل عمه امل او اخت امل او زوجه امل او بنت امل او حماه امل واللي ماعنده امل بالعاءله يراجع لانه وضعه مو طبيعي قروب امل اسعد القروبات اذا وحده اسمها امل ارسلوها,0
6,حمدلله ماحطها فمي اساسا,0
7,هههه,0
8,اللي مايضحك هالمقطع يبلكني هههههههه مطططههببللللل يمثلني ههههههه,0
9,خلاص الله يزعجكم خلللاص,0
10,هيلق جحلط مافي,0
11,تعبت ارد كونت تراا متخلفين ورجعيين اكتبها كوول كيفي ياناس حلوا سماي اااف,0
12,صادق يسب الصحابه ويدعي تحريف القران ويتهم عاءشه بالزنا وش نسميه مسلم مطور مثلا الا بيض الله وجهه كلامه صحيح وماقال الا الحق ياالبقره,2
13,بقوه,0
14,تذكروا جيدا اكرم الله القارءين وتذكروا جيدا داءما جاهزون  لتلبيه وعد ابليس ابليس يقول محا,0
15,ذبانه اصيدها والله اربطها واركض يمها واصرخ,0
16,وين الحش اذا فهمته واشكاله ان زمن جلسه البيت انتها وولا حش وبعدين وش نظام سواليف البزران اكبر ياخي,0
17,انا مره اقولكم مو عيب اللي تسوونه  الكذب الناس حرااااااااام,0
18,شمشوم المجهر عمي شوف انا خاصمك تصعب بدك محامي انت تطلب,0
19,وووووووووووووووو رومان رينز,0
20,ان شاء الله يرفع قضيه وتنجلدين اهلك,0
21,يلاا مشينا,0
22,ترند بتويتر لعنبو ابليسكم خلو المسلم بحاله شهرتو,0
23,تحصل علا غد افضل مادمت تفكر بالامس,0
24,بهذذذذدي صدقت قسم محد يفرح الااا اللي يحبك او رحم ربي,0
25,دكتور فارس بتفرقكن تخلو التيار وحدو يجيب الحاصل,0
26,تعوسي عطاني فولو دخلت صفحته اشوفه كاتب انو ساقطات اللي خقو بايع الكليجا وطايح قذف حسابه الحقير اباحيات استشرافه صنفه قوي عطيته بلوك,1
27,١٦٠ الف كيلو اجيبها ٣ سنين بتضحكو مين قال الضمان ٨ سنين قال,0
28,اختفا مروان تلودي طلعوا جولي شيك القرشي,0
29,اليوم الجوا اكثر راءع,0
30,يوجد اشد هالفضيحه بشار اللهم ارحم شهداء الوطن الابرار دعواتكم الله القوي الجبار الم,0
31,تخيل نحتفل بالتعادل فريق جزمه ابو نوران اكبر تاريخهم,3
32,حاط صوره حسن نصر الله ويقول اهل الكويت الاصليين الطم,0
33,الرءيس السيسا لرءيس الاركان يامحمد عايزك تشيل الارهابيين وش الارض اح,0
34,مبروووك ٣ خليتوها ٤ ترا وضاح خسران انديه لندن,0
35,انا اسافر بعيد التحرير,0
36,اكره شي الحياه تطلع بيتكم متسبح ومتعطر ومتزقرت وتدخل بوفيه العامل قاعد يقلي فلافل خلاص الحين وش يخلص اليوم ابي ارمي الثوب احسني صره فلافله,0
37,نه,0
38,كسرتيني غيدا تحبين وراي  ليه تخونيني,0
39,جاتني كتمه  ٣ مواد ليه,0
40,الشمال,0
41,قلتي يا الضرح واي اعتداء عضيدي اعتداء الرد بيكون شديد,0
42,لحول انت جالس شي اكتبه,0
43,ليش هالحقد احد النص,0
44,شكله مافهم معنها,0
45,تتغير طريقه اكل الكليجا البنت تبوسها تاكلها الولد يدبجها ياكلها,0
46,ليه انت حبيبك كتير,0
47,الله ناس تجري راها الشهره ناس تجري را الشهره العالميه تعني اكسو,0
48,ماش,0
49,جد يعني باجر دوام,0
50,للاسف انهم يكذبون يتنفسون,0
51,افا يا الطرش يا التركستاني طلع لسان وتتجرا تتكلم المنتخب السعودي,1
52,اقوا شي يسد النفس تجلس واحد ياكل تمر ويمصمص اصابعه ويرجع يقلب التمر ينقي يقولك شفيك تهبش هبشك كيبل كه,0
53,مايدرسون جغرافيا,0
54,ايمتا يخلص هالشهر والله انو يوم,0
55,ميووووت,0
56,اقسم بالله اني اشوف انك تاكل تبن احسن ياطبل ياطار للبنات والفساد انطم ياذكر بعيد البعد الرجوله ياحيف اذا عاجبك اللي ليه ماوديت اهلك وخليتهم يعطون رايهم ويصورون ولد الناس اللي ابتلش اللي تصفق الخلا مير الخلا ياتسلب,1
57,قله ادب وادوختونا صدق,0
58,بيجيبون امراض الدنيا وانا توني بعمر الزهور,0
59,الله يفضحكم فضحتونا العربان,0
60,بنات وش الله اتقوا الله وارتقوا  ايش كميه الانحطاط بالتاق ما يلفظ من قول الا لديه رقيب عتيد,1
61,بسم الله,0
62,طيب تدف,0
63,حقش حق وحق الناس مرق,0
64,رخم,0
65,الي يبيع الكليجا لابس كمام ريحه اديوسهن وريحه اباطهن المعفنه الله لايلومك,5
66,ممحون,0
67,الاشخاص بسبب انجازاتهم يستحقون كتاب شكر يحتوي صوره شخصيه بفلتر,0
68,يا بنت,0
69,رساله الرءيس عبد الفتاح السيسي لرءيس الاركان مقر القياده القناه يامحمد عاوزك تشيل الارهابيين وش الارض,0
70,اخاف نصاب بالسمنه,0
71,وياريت نواسا اصحاب الجيوب الانفيه وحساسيه الانف والصدر  يتعذبون,0
72,التفاح ابل مفيش اكترمنه,0
73,حد لاقي ياابني,0
74,الهاجوس يابو فارس ماريحنا متاملين خير,0
75,بغسلهم عقب ماغسل شراعكم انتما معا بارك الله,0
76,شكلي انا الوحيده اللي اكره الشيلات,0
77,مدري وشفيهم النسوان انهبلووو هبل اقسم بالله تقليد مرض تدري وش تسوي ومرض اخر التخريب انا خربانه خرب الشله,1
78,جد,0
79,بنظفونها وبيرجع الغبار,0
80,ليه الافتري دا,0
81,الحقيقه والله شي مخجل اللي شفته كميه جراه مقززه البنات بشكل لايوصف وين الحياء والحشمه الظاهر ماعاد حياء حشمه الجيل رحم ربي,1
82,والله ياخوي محد يرضا,0
83,ككوولوووزززققققققق,0
84,يارجال انت خايف مصلحه الاتحاد مافتحت الموضوع الا مابعد بطوله الملك للاسف كنت احترمك كاعلامي اتحادي,0
85,انتي هتقوليلي,0
86,ماابي احلف واثق تماما ان وجودي مسبب لاغلبكم سعاده كلامي صح اكيد,0
87,والله انها قليله ذوق تنظر لرجل زوجها وعيب اساس تنظر لشخص زوجها اساس شكلها متخرفنه بايع اكبر قذره واكبر قله ادب اهجدو مذابكم الكعبه اخواني انهم اجمل وجهه مليون مرا عادي مااشوف جمال الا تشوفونه زعجتونا ترا هه,0
88,تعليقي ياتبارك الرحمن اله الله,0
89,البحرين,0
90,٣ ايام وانا احلم احلام,0
91,واللي جالسين فنادق الرياض ثلاث سنوات ويستنزفون التحالف وش تسميهم الله ماتستحقون,0
92,مصطلحات ال غالي متوتر لدرجه انه لايستطيع الجلوس نمله بنطلونه الابط تستخدم للتعبير النتانه والقذاره متورط للغايه قوله المصريين حبل المشنقه لاف رقبته,0
93,عيش ياااابطال وهكون الابطال اقول ايه دولت اقول ايه,0
94,المشاوير,0
95,فهمت غلط قلت صديقي,0
96,المستدعشين فاهمين النصيحه غلط,0
97,انتم تسمعوني تستهبلون مادريت حق الكلجا الي طفشتونا اهتميت كلامي وصفك بان نبوه للنساء لانهن وفيات تقدر تنتقد تصرف البنات التقول الدين يا مقطعين الوفاء فهمتوا  تعتبت وانا اشرح,1
